# Harbour function table — used by the C# transpiler
#
# Combines two pieces of information about each known Harbour function:
#   1. RETTYPE: declared/inferred return type, used by type propagation.
#               One of STRING NUMERIC LOGICAL DATE ARRAY HASH OBJECT BLOCK
#               or "-" if unknown / void / procedure.
#   2. PREFIX:  namespace to remap calls to. e.g., a function with prefix
#               "HbRuntime" produces `HbRuntime.NAME(...)` in C#.
#               Use "-" if the function is called as-is (no remap).
#
# Format: NAME<TAB>RETTYPE<TAB>PREFIX
# Lines starting with `#` and blank lines are ignored. Names are
# case-insensitive but conventionally written UPPERCASE.
#
# THIS FILE IS GENERATED — see src/transpiler/tools/genfunctab.py
# To override an entry, add a row to a hand-curated overrides file
# (loaded after this one) rather than editing here directly.

PROCFILE	STRING	-
PROCLINE	NUMERIC	-
PROCNAME	STRING	-
PV	NUMERIC	-
QOUT	-	HbRuntime
QQOUT	-	HbRuntime
QUARTER	NUMERIC	-
RANGEREM	STRING	-
RANGEREPL	STRING	-
RAT	NUMERIC	HbRuntime
RATE	NUMERIC	-
READKEY	NUMERIC	-
READVAR	STRING	-
RECCOUNT	NUMERIC	-
RECSIZE	NUMERIC	-
REMALL	STRING	-
REMLEFT	STRING	-
REMRIGHT	STRING	-
REPLALL	STRING	-
REPLICATE	STRING	HbRuntime
REPLLEFT	STRING	-
REPLRIGHT	STRING	-
RESTTOKEN	STRING	-
RIGHT	STRING	HbRuntime
RLOCK	LOGICAL	-
ROUND	NUMERIC	HbRuntime
ROW	NUMERIC	-
RTOD	NUMERIC	-
RTRIM	STRING	HbRuntime
SAVETOKEN	STRING	-
SECONDS	NUMERIC	-
SECS	NUMERIC	-
SELECT	NUMERIC	-
SETATLIKE	NUMERIC	-
SETCOLOR	-	HbRuntime
SETDATE	LOGICAL	-
SETFONT	NUMERIC	-
SETMODE	LOGICAL	-
SETPREC	STRING	-
SETTIME	LOGICAL	-
SETTYPEAHEAD	NUMERIC	-
SIGN	NUMERIC	-
SIN	NUMERIC	-
SINH	NUMERIC	-
SPACE	STRING	HbRuntime
SQRT	NUMERIC	HbRuntime
STOD	-	HbRuntime
STR	STRING	HbRuntime
STRFORMAT	STRING	-
STRSWAP	STRING	-
STRTRAN	STRING	HbRuntime
STRZERO	STRING	HbRuntime
STUFF	-	HbRuntime
SUBSTR	STRING	HbRuntime
TABEXPAND	STRING	-
TABPACK	STRING	-
TAN	NUMERIC	-
TANH	NUMERIC	-
TBROWSE	BLOCK	-
TBROWSEDB	OBJECT	-
TBROWSENEW	OBJECT	-
TIME	STRING	HbRuntime
TIMEVALID	LOGICAL	-
TOKEN	STRING	-
TOKENAT	NUMERIC	-
TOKENEND	LOGICAL	-
TOKENEXIT	LOGICAL	-
TOKENINIT	LOGICAL	-
TOKENLOWER	STRING	-
TOKENNEXT	STRING	-
TOKENNUM	NUMERIC	-
TOKENSEP	STRING	-
TOKENUPPER	STRING	-
TRANSFORM	STRING	HbRuntime
TRIM	STRING	HbRuntime
TYPE	STRING	-
U2BIN	STRING	-
UNTEXTWIN	STRING	-
UPPER	STRING	HbRuntime
USED	LOGICAL	-
VAL	NUMERIC	HbRuntime
VALPOS	NUMERIC	-
VALTYPE	STRING	-
VERSION	STRING	-
VGAPALETTE	LOGICAL	-
VIDEOTYPE	NUMERIC	-
W2BIN	STRING	-
WAITPERIOD	LOGICAL	-
WEEK	NUMERIC	-
WORD	NUMERIC	-
WORDONE	STRING	-
WORDONLY	STRING	-
WORDREM	STRING	-
WORDREPL	STRING	-
WORDSWAP	STRING	-
WORDTOCHAR	STRING	-
WOY	NUMERIC	-
XTOC	STRING	-
XXX	LOGICAL	-
YEAR	NUMERIC	-
__DBCOPYXSTRUCT	LOGICAL	-
__DBCREATE	LOGICAL	-
__DBSTRUCTFILTER	ARRAY	-
__FLEDIT	ARRAY	-
__INPUT	STRING	-
__MENUTO	NUMERIC	-
__MVEXIST	LOGICAL	-
__OBJADDDATA	OBJECT	-
__OBJADDINLINE	OBJECT	-
__OBJADDMETHOD	OBJECT	-
__OBJDELDATA	OBJECT	-
__OBJDELINLINE	OBJECT	-
__OBJDELMETHOD	OBJECT	-
__OBJDERIVEDFROM	LOGICAL	-
__OBJGETMETHODLIST	ARRAY	-
__OBJGETMSGLIST	ARRAY	-
__OBJGETVALUELIST	ARRAY	-
__OBJHASDATA	LOGICAL	-
__OBJHASMETHOD	LOGICAL	-
__OBJMODINLINE	OBJECT	-
__OBJMODMETHOD	OBJECT	-
__OBJSETVALUELIST	OBJECT	-
__SETCENTURY	LOGICAL	-
__WAIT	STRING	-
